-nan ,0.334133 ,0.297 ,0.286113 ,0.274583 ,0.27239 ,0.266497 ,0.265053 ,0.262073 ,0.257473 ,0.253297 ,0.24948 ,0.245127 ,0.242147 ,0.246737 ,0.240793 ,0.236103 ,0.23314 ,0.232773 ,0.23081 ,0.224177 ,0.22002 ,0.216797 ,0.215423 ,0.210153 ,0.2084 ,0.203503 ,0.19812 ,0.191743 ,0.188343 ,0.1933 ,0.221407 ,
-nan ,0.336383 ,0.29664 ,0.282197 ,0.270983 ,0.271423 ,0.26469 ,0.262417 ,0.262003 ,0.256563 ,0.255447 ,0.250493 ,0.24707 ,0.246037 ,0.241803 ,0.239197 ,0.236383 ,0.233067 ,0.228907 ,0.229753 ,0.22515 ,0.22225 ,0.218133 ,0.211367 ,0.204357 ,0.20124 ,0.199023 ,0.198513 ,0.19388 ,0.18827 ,0.19467 ,0.22094 ,
-nan ,0.334317 ,0.296347 ,0.281553 ,0.27356 ,0.269277 ,0.26849 ,0.265033 ,0.259487 ,0.256947 ,0.25747 ,0.249013 ,0.250447 ,0.24911 ,0.246547 ,0.24215 ,0.24013 ,0.232443 ,0.231093 ,0.226963 ,0.223187 ,0.21771 ,0.218687 ,0.214587 ,0.210247 ,0.204727 ,0.200713 ,0.1971 ,0.192243 ,0.192977 ,0.194363 ,0.222603 ,
-nan ,0.33732 ,0.2984 ,0.28081 ,0.277417 ,0.271047 ,0.264817 ,0.26435 ,0.259753 ,0.262357 ,0.260257 ,0.251173 ,0.248377 ,0.24659 ,0.242367 ,0.24047 ,0.237567 ,0.23589 ,0.232387 ,0.228927 ,0.226053 ,0.219213 ,0.216657 ,0.21416 ,0.204853 ,0.20416 ,0.200243 ,0.196507 ,0.19506 ,0.193093 ,0.196563 ,0.221363 ,
-nan ,0.376087 ,0.318133 ,0.306877 ,0.304837 ,0.27471 ,0.274397 ,0.275153 ,0.274337 ,0.269317 ,0.267103 ,0.2658 ,0.262 ,0.264087 ,0.25786 ,0.252367 ,0.250963 ,0.245797 ,0.248133 ,0.23755 ,0.234847 ,0.22798 ,0.226787 ,0.219853 ,0.218303 ,0.21198 ,0.20639 ,0.204303 ,0.204087 ,0.19505 ,0.203227 ,0.228963 ,
-nan ,0.170693 ,0.29705 ,0.281383 ,0.278743 ,0.270087 ,0.2697 ,0.265523 ,0.26295 ,0.256293 ,0.249533 ,0.252223 ,0.248543 ,0.249457 ,0.241877 ,0.241157 ,0.237047 ,0.239483 ,0.232107 ,0.226897 ,0.22532 ,0.217207 ,0.217627 ,0.21234 ,0.207847 ,0.200773 ,0.19849 ,0.19477 ,0.195647 ,0.189947 ,0.192097 ,0.220827 ,
-nan ,0.332823 ,0.299963 ,0.286697 ,0.275617 ,0.26776 ,0.268693 ,0.26439 ,0.258517 ,0.25628 ,0.25356 ,0.253693 ,0.252973 ,0.250353 ,0.246163 ,0.24337 ,0.23865 ,0.237503 ,0.228987 ,0.230417 ,0.226047 ,0.21926 ,0.215867 ,0.21067 ,0.205887 ,0.204003 ,0.20333 ,0.197453 ,0.19111 ,0.189843 ,0.192303 ,0.222407 ,
-nan ,0.33301 ,0.298553 ,0.281803 ,0.275823 ,0.267457 ,0.262993 ,0.265617 ,0.260083 ,0.25833 ,0.255753 ,0.252303 ,0.252413 ,0.244303 ,0.24412 ,0.236153 ,0.234353 ,0.232937 ,0.230753 ,0.22902 ,0.22128 ,0.22094 ,0.21409 ,0.21308 ,0.208637 ,0.20446 ,0.200593 ,0.19962 ,0.19322 ,0.18873 ,0.195763 ,0.222547 ,
-nan ,0.334757 ,0.297043 ,0.284877 ,0.27674 ,0.271857 ,0.261363 ,0.264597 ,0.25989 ,0.259257 ,0.25645 ,0.25241 ,0.25134 ,0.24748 ,0.247393 ,0.242227 ,0.235317 ,0.234513 ,0.22939 ,0.22703 ,0.222743 ,0.221567 ,0.219267 ,0.21322 ,0.207 ,0.203917 ,0.20115 ,0.195187 ,0.193833 ,0.19159 ,0.1967 ,0.22572 ,
-nan ,0.335623 ,0.297833 ,0.282693 ,0.27554 ,0.271327 ,0.266837 ,0.266853 ,0.262357 ,0.263827 ,0.255017 ,0.25519 ,0.252307 ,0.246027 ,0.242273 ,0.24097 ,0.23908 ,0.236557 ,0.236357 ,0.229213 ,0.22134 ,0.219823 ,0.217293 ,0.213087 ,0.209837 ,0.20714 ,0.20228 ,0.198997 ,0.195533 ,0.189207 ,0.19512 ,0.222743 ,
