-nan ,0.0210457 ,0.0239057 ,0.0239943 ,0.02686 ,0.0297571 ,0.0322743 ,0.0356171 ,0.03956 ,0.04382 ,0.0493229 ,0.0574314 ,0.0637229 ,0.0767686 ,0.09314 ,0.115471 ,0.14888 ,0.197469 ,0.295429 ,
-nan ,0.02174 ,0.0228829 ,0.0244971 ,0.0264686 ,0.0282743 ,0.0319257 ,0.0345771 ,0.0394343 ,0.04236 ,0.05072 ,0.0567171 ,0.0644057 ,0.0746 ,0.0925057 ,0.114229 ,0.148769 ,0.197697 ,0.299691 ,
-nan ,0.0209686 ,0.0225829 ,0.0251314 ,0.0266971 ,0.0295743 ,0.0320914 ,0.0348371 ,0.0397829 ,0.0435143 ,0.0504171 ,0.0582829 ,0.0661314 ,0.0778114 ,0.0933914 ,0.117631 ,0.146946 ,0.199797 ,0.296891 ,
-nan ,0.0211257 ,0.0225286 ,0.0249857 ,0.0270971 ,0.0278314 ,0.0325457 ,0.0348543 ,0.0393486 ,0.0448029 ,0.04998 ,0.0557286 ,0.0652686 ,0.07638 ,0.0924029 ,0.11434 ,0.148583 ,0.197583 ,0.298266 ,
-nan ,0.0201743 ,0.0233086 ,0.0254286 ,0.0272943 ,0.0289 ,0.0327829 ,0.03602 ,0.03936 ,0.0458229 ,0.0487886 ,0.0572314 ,0.0668686 ,0.07922 ,0.0926171 ,0.116466 ,0.148563 ,0.198057 ,0.297477 ,
-nan ,0.0214143 ,0.0228686 ,0.0245371 ,0.0257971 ,0.0285229 ,0.0322171 ,0.0347171 ,0.0397343 ,0.0442171 ,0.0505857 ,0.0574629 ,0.0668571 ,0.0773143 ,0.0925114 ,0.11138 ,0.145306 ,0.1978 ,0.295966 ,
-nan ,0.0215886 ,0.0234629 ,0.0247457 ,0.0273286 ,0.0288314 ,0.0316029 ,0.03572 ,0.0402743 ,0.0439629 ,0.04968 ,0.0567086 ,0.0655571 ,0.0773 ,0.0944886 ,0.114834 ,0.14844 ,0.200531 ,0.297749 ,
-nan ,0.02148 ,0.0233514 ,0.0245257 ,0.0267371 ,0.0296314 ,0.0325657 ,0.0360457 ,0.0388771 ,0.0455514 ,0.0488029 ,0.0570943 ,0.06668 ,0.0775514 ,0.0936486 ,0.114069 ,0.148066 ,0.200389 ,0.294406 ,
-nan ,0.0205343 ,0.0223486 ,0.0252914 ,0.0265171 ,0.0279714 ,0.0336457 ,0.0355371 ,0.0388657 ,0.04408 ,0.0497571 ,0.0584429 ,0.0661171 ,0.0778 ,0.0914686 ,0.114543 ,0.1491 ,0.200577 ,0.298486 ,
-nan ,0.0215714 ,0.0239571 ,0.0250971 ,0.0264486 ,0.0281543 ,0.03138 ,0.0358371 ,0.0393229 ,0.0436257 ,0.0501514 ,0.0567286 ,0.0668686 ,0.0764886 ,0.0941486 ,0.116183 ,0.145911 ,0.19898 ,0.299251 ,
