-nan ,0.0818457 ,0.07276 ,0.0726829 ,0.0672057 ,0.0631057 ,0.0631914 ,0.06062 ,0.0589971 ,0.0587543 ,0.0563257 ,0.054 ,0.0495886 ,0.0480971 ,0.0459829 ,0.0454429 ,0.04528 ,0.0496714 ,0.0829029 ,
-nan ,0.0652286 ,0.0702486 ,0.0701029 ,0.0677114 ,0.0656657 ,0.0643743 ,0.0621229 ,0.06 ,0.0572057 ,0.05494 ,0.0510657 ,0.04972 ,0.0469429 ,0.0464343 ,0.0454371 ,0.0448371 ,0.0487686 ,0.0831 ,
-nan ,0.0824886 ,0.0752771 ,0.0708914 ,0.0677886 ,0.06762 ,0.0624029 ,0.0609714 ,0.0574771 ,0.0555029 ,0.0532771 ,0.0512086 ,0.0502543 ,0.0487429 ,0.0453257 ,0.04588 ,0.0457229 ,0.0492629 ,0.0846429 ,
-nan ,0.0820914 ,0.0710914 ,0.0690857 ,0.0681629 ,0.0654657 ,0.0631486 ,0.0615257 ,0.0568029 ,0.05634 ,0.0555971 ,0.0538857 ,0.0513686 ,0.0480143 ,0.0465486 ,0.0462714 ,0.0466743 ,0.0504943 ,0.0840086 ,
-nan ,0.0844486 ,0.0745686 ,0.0708229 ,0.0675143 ,0.0635886 ,0.06592 ,0.05858 ,0.0587457 ,0.0568029 ,0.0554657 ,0.0516114 ,0.0501914 ,0.0485229 ,0.0482257 ,0.0464371 ,0.0450257 ,0.04904 ,0.0839171 ,
-nan ,0.08364 ,0.0736429 ,0.0711171 ,0.0662514 ,0.0671686 ,0.0636514 ,0.06046 ,0.0590686 ,0.05694 ,0.0529086 ,0.0510543 ,0.0512086 ,0.0488371 ,0.0469829 ,0.0458457 ,0.0449514 ,0.0496514 ,0.0839143 ,
-nan ,0.0819229 ,0.0730629 ,0.0692686 ,0.06664 ,0.0633743 ,0.06272 ,0.0627514 ,0.0590486 ,0.0566857 ,0.0549229 ,0.0525571 ,0.0498314 ,0.0508771 ,0.04782 ,0.0450314 ,0.0440114 ,0.0504457 ,0.0837657 ,
-nan ,0.0829314 ,0.0740829 ,0.0709686 ,0.0678143 ,0.06476 ,0.0647086 ,0.0612143 ,0.0598971 ,0.0581771 ,0.0551943 ,0.0525686 ,0.0495971 ,0.0502114 ,0.0478486 ,0.0444086 ,0.0463171 ,0.0484457 ,0.0823629 ,
-nan ,0.0833029 ,0.0752371 ,0.0714029 ,0.0674914 ,0.0663971 ,0.0625771 ,0.0618714 ,0.0591143 ,0.05734 ,0.05728 ,0.0544571 ,0.0514143 ,0.0482771 ,0.04882 ,0.0450143 ,0.0443229 ,0.0496257 ,0.0838743 ,
-nan ,0.0860829 ,0.0742029 ,0.0708914 ,0.0676829 ,0.0653257 ,0.0624686 ,0.0613171 ,0.0592486 ,0.0552143 ,0.05354 ,0.0515943 ,0.0509 ,0.0479714 ,0.0466057 ,0.0457257 ,0.0452457 ,0.0502886 ,0.0842543 ,
